010123101,INTRODUCTION TO COMPUTER,1
010123102,PROGRAMMING FUNDAMENTALS,3
040203111,ENGINEERING MATHEMATICS I,3
040313005,PHYSICS I,3
040313006,PHYSICS LABORATORY I,1
080103001,ENGLISH I,3
080203901,MAN AND SOCIETY,3
080303505,TABLE TENNIS,1
010113010,ELECTRIC CIRCUIT THEORY,3
010113011,ELECTRIC CIRCUIT LAB,1
010123103,ALGORITHMS AND DATA STRUCTURE,3
040203112,ENGINEERING MATHEMATICS II,3
040313007,PHYSICS II,3
040313008,PHYSICS LABORATORY II,1
080103002,ENGLISH II,3
080303501,BASKETBALL,1
010123104,DISCRETE MATHEMATICS,3
010123106,INTRODUCTION TO SIGNALS AND SYSTEMS,3
010123107,LOGIC DESIGN OF DIGITAL SYSTEM,3
010123108,DIGITAL SYSTEM DESIGN LABORATORY,1
010123109,BUILDING SOFTWARE SYSTEMS I,3
040503001,STATISTICS IN EVERYDAY LIFE,3
010123110,BUILDING SOFTWARE SYSTEMS II,3
010123111,HIGH LEVEL DESIGN FOR DIGITAL SYSTEM,3
010123112,COMPUTER ORGANIZATION,3
010123113,DATA COMMUNICATIONS,3
010123114,ANALOG AND DIGITAL ELECTRONICS,3
040203100,GENERAL MATHEMATICS,3
010123115,ANALOG AND DIGITAL ELECTRONICS LABORATORY,1
010123116,SOFTWARE ENGINEERING,3
010123117,OPERATING SYSTEMS,3
010123118,COMPUTER NETWORKS,3
010123119,EMBEDDED SYSTEM DESIGN,3
040313017,EXERCISE SKILL AND SPORT,3
080103016,ENGLISH CONVERSATION I,3
010123105,STATISTICS FOR COMPUTER ENGINEERS,3
040313016,PHYSICS IN DAILY LIFE,3
